8	2	Scrubs	My Last Words	9.3	1188	2009
8	3	Scrubs	My Saving Grace	8.0	478	2009
8	4	Scrubs	My Happy Place	8.3	514	2009
8	5	Scrubs	My ABC's	8.4	519	2009
8	6	Scrubs	My Cookie Pants	8.3	470	2009
8	7	Scrubs	My New Role	8.1	451	2009
8	8	Scrubs	My Lawyer's in Love	8.6	544	2009
8	9	Scrubs	My Absence	7.9	433	2009
8	10	Scrubs	My Comedy Show	7.9	435	2009
8	11	Scrubs	My Nah Nah Nah	7.8	451	2009
8	12	Scrubs	Their Story II	7.8	431	2009
8	13	Scrubs	My Full Moon	7.9	455	2009
8	14	Scrubs	My Soul on Fire: Part 1	8.1	466	2009
8	15	Scrubs	My Soul on Fire: Part 2	8.3	521	2009
8	16	Scrubs	My Cuz	8.0	435	2009
8	17	Scrubs	My Chief Concern	8.4	475	2009
8	18	Scrubs	My Finale: Part 1	9.3	1216	2009
8	19	Scrubs	My Finale: Part 2	9.8	2678	2009
9	1	Scrubs	Our First Day of School	7.0	573	2009
9	2	Scrubs	Our Drunk Friend	6.9	451	2009
9	3	Scrubs	Our Role Models	6.8	410	2009
9	4	Scrubs	Our Histories	7.0	373	2009
9	5	Scrubs	Our Mysteries	6.5	345	2009
9	6	Scrubs	Our New Girl-Bro	6.4	343	2010
9	7	Scrubs	Our White Coats	6.5	342	2010
9	8	Scrubs	Our Couples	6.2	355	2010
9	9	Scrubs	Our Stuff Gets Real	6.8	354	2010
9	10	Scrubs	Our True Lies	6.6	331	2010
9	11	Scrubs	Our Dear Leaders	6.2	336	2010
9	12	Scrubs	Our Driving Issues	6.3	344	2010
9	13	Scrubs	Our Thanks	6.6	397	2010
