37	"S2:E15 "Message, The""	8.6	-0.22499999999999964	1.612	1	
38	"S2:E16 Chicago"	8.6	-0.21891891891892	1.696	1	
39	"S2:E17 Bad Blood"	8.7	-0.11315789473684212	1.645	1	
40	"S2:E18 Wash"	8.8	-0.01025641025641022	1.671	1	
41	"S2:E19 Sweet Caroline"	9	0.19000000000000128	1.802	1	
42	"S2:E20 Panama"	8.5	-0.31463414634146325	1.668	1	
43	"S2:E21 Fin del camino"	8.8	-0.007142857142856229	1.741	1	
44	"S2:E22 Sona"	8.8	-0.006976744186045991	2.1	1	
45	"S3:E2 Fire/Water"	8.3	-0.506818181818181	1.715	1	
46	"S3:E3 Call Waiting"	8.3	-0.49555555555555486	1.613	1	
47	"S3:E4 Good Fences"	8.2	-0.5847826086956527	1.562	1	
48	"S3:E5 Interference"	8.3	-0.4723404255319146	1.532	1	
49	"S3:E6 Photo Finish"	8.5	-0.26250000000000107	1.548	1	
50	"S3:E7 Vamonos"	8.5	-0.257142857142858	1.522	1	
51	"S3:E8 Bang and Burn"	8.6	-0.15200000000000102	1.527	1	
52	"S3:E9 Boxed In"	8.1	-0.6490196078431367	1.506	1	
53	"S3:E10 Dirt Nap"	8.5	-0.23653846153846203	1.514	1	
54	"S3:E11 Under & Out"	8.6	-0.13207547169811384	1.509	1	
55	"S3:E12 Hell or High Water"	8.8	0.0703703703703713	1.651	1	
56	"S3:E13 "Art of the Deal, The""	8.9	0.16909090909090985	1.96	1	
57	"S4:E1 Scylla"	8.3	-0.4339285714285719	2.151	1	
58	"S4:E2 Breaking and Entering"	8.1	-0.6263157894736846	1.64	1	
59	"S4:E3 Shut Down"	8.2	-0.5155172413793103	1.531	1	
60	"S4:E4 Eagles and Angels"	8.2	-0.5067796610169513	1.491	1	
61	"S4:E5 Safe and Sound"	8.3	-0.39833333333333165	1.472	1	
62	"S4:E6 Blow Out"	8.3	-0.39180327868852416	1.448	1	
63	"S4:E7 Five the Hard Way"	8.3	-0.3854838709677413	1.433	1	
64	"S4:E8 "Price, The""	8.4	-0.2793650793650784	1.428	1	
65	"S4:E9 Greatness Achieved"	8.8	0.125	1.628	1	
66	"S4:E10 "Legend, The""	8.3	-0.3769230769230756	1.399	1	
67	"S4:E11 Quiet Riot"	8.7	0.02878787878787925	1.471	1	
68	"S4:E12 Selfless"	9.1	0.42835820895522403	1.856	1	
69	"S4:E13 Deal or No Deal"	8.4	-0.2779411764705877	1.412	1	
70	"S4:E14 Just Business"	8.3	-0.37391304347826093	1.391	1	
71	"S4:E15 Going Under"	8.1	-0.5685714285714276	1.349	1	
72	"S4:E16 "Sunshine State, The""	8	-0.6605633802816904	1.449	1	
73	"S4:E17 "Mother Lode, The""	7.9	-0.7513888888888882	1.461	1	
74	"S4:E18 VS."	7.8	-0.8410958904109593	1.358	1	
75	"S4:E19 S.O.B."	7.9	-0.7297297297297298	1.315	1	
76	"S4:E20 Cowboys and Indians"	8.3	-0.3199999999999985	1.353	1	
77	"S4:E21 Rates of Exchange"	8.5	-0.11578947368420955	1.381	1	
78	"S4:E22 Killing Your Number"	9	0.3857142857142861	2.119	1	
79	"S4:E23 "Old Ball and Chain, The""	8.2	-0.41923076923076863	1.269	1	
80	"S4:E24 Free"	8.8	0.1860759493670887	1.695	1	
